Año,Mes,Cód. Departamento,Cód. Ciudad,Departamento,Ciudad,Viajeros
2020,enero,5,5001,Antioquia,Medellín,38144
2020,enero,5,5002,Antioquia,Abejorral,145
2020,enero,5,5004,Antioquia,Abriaquí,4
2020,enero,5,5030,Antioquia,Amagá,4
2020,enero,5,5031,Antioquia,Amalfi,1
2020,enero,5,5034,Antioquia,Andes,2
2020,enero,5,5042,Antioquia,Santafé de Antioquia,18
2020,enero,5,5045,Antioquia,Apartadó,21
2020,enero,5,5051,Antioquia,Arboletes,2
2020,enero,5,5079,Antioquia,Barbosa,19
2020,enero,5,5088,Antioquia,Bello,152
2020,enero,5,5093,Antioquia,Betulia,1
2020,enero,5,5101,Antioquia,Ciudad Bolívar,1
2020,enero,5,5113,Antioquia,Buriticá,13
2020,enero,5,5125,Antioquia,Caicedo,1
2020,enero,5,5129,Antioquia,Caldas,20
2020,enero,5,5145,Antioquia,Caramanta,1
2020,enero,5,5148,Antioquia,El Carmen de Viboral,25
2020,enero,5,5154,Antioquia,Caucasia,2
2020,enero,5,5190,Antioquia,Cisneros,5
2020,enero,5,5197,Antioquia,Cocorná,1
2020,enero,5,5212,Antioquia,Copacabana,48
2020,enero,5,5234,Antioquia,Dabeiba,2
2020,enero,5,5237,Antioquia,Donmatías,9
2020,enero,5,5240,Antioquia,Ebéjico,1
2020,enero,5,5250,Antioquia,El Bagre,4
2020,enero,5,5266,Antioquia,Envigado,353
2020,enero,5,5308,Antioquia,Girardota,18
2020,enero,5,5313,Antioquia,Granada,2
2020,enero,5,5315,Antioquia,Guadalupe,4
2020,enero,5,5318,Antioquia,Guarne,36
2020,enero,5,5321,Antioquia,Guatape,58
2020,enero,5,5360,Antioquia,Itagui,112
2020,enero,5,5361,Antioquia,Ituango,4
2020,enero,5,5364,Antioquia,Jardín,10
2020,enero,5,5368,Antioquia,Jericó,17
2020,enero,5,5376,Antioquia,La Ceja,80
2020,enero,5,5380,Antioquia,La Estrella,24
2020,enero,5,5390,Antioquia,La Pintada,1
2020,enero,5,5400,Antioquia,La Unión,11
2020,enero,5,5425,Antioquia,Maceo,2
2020,enero,5,5440,Antioquia,Marinilla,23
2020,enero,5,5467,Antioquia,Montebello,3
2020,enero,5,5480,Antioquia,Mutatá,2
2020,enero,5,5490,Antioquia,Necoclí,2
2020,enero,5,5501,Antioquia,Olaya,2
2020,enero,5,5541,Antioquia,Peñol,20
2020,enero,5,5543,Antioquia,Peque,1
2020,enero,5,5579,Antioquia,Puerto Berrío,4
2020,enero,5,5585,Antioquia,Puerto Nare,2
2020,enero,5,5591,Antioquia,Puerto Triunfo,6
2020,enero,5,5604,Antioquia,Remedios,1
2020,enero,5,5607,Antioquia,Retiro,36
2020,enero,5,5615,Antioquia,Rionegro,534
2020,enero,5,5628,Antioquia,Sabanalarga,4
2020,enero,5,5631,Antioquia,Sabaneta,151
2020,enero,5,5649,Antioquia,San Carlos,6
2020,enero,5,5656,Antioquia,San Jerónimo,2
2020,enero,5,5659,Antioquia,San Juan de Urabá,2
2020,enero,5,5660,Antioquia,San Luis,4
2020,enero,5,5664,Antioquia,San Pedro de Los Milagros,5
2020,enero,5,5667,Antioquia,San Rafael,2
2020,enero,5,5674,Antioquia,San Vicente Ferrer,1
2020,enero,5,5679,Antioquia,Santa Bárbara,1
2020,enero,5,5686,Antioquia,Santa Rosa de Osos,4
2020,enero,5,5697,Antioquia,El Santuario,19
2020,enero,5,5736,Antioquia,Segovia,7
2020,enero,5,5756,Antioquia,Sonson,2
2020,enero,5,5761,Antioquia,Sopetrán,2
2020,enero,5,5789,Antioquia,Támesis,1
2020,enero,5,5790,Antioquia,Tarazá,1
2020,enero,5,5809,Antioquia,Titiribí,1
2020,enero,5,5837,Antioquia,Turbo,5
2020,enero,5,5847,Antioquia,Urrao,1
2020,enero,5,5858,Antioquia,Vegachí,2
2020,enero,5,5861,Antioquia,Venecia,2
2020,enero,5,5887,Antioquia,Yarumal,1
2020,enero,5,5890,Antioquia,Yolombó,1
2020,enero,5,5893,Antioquia,Yondó,2
2020,enero,8,8001,Atlántico,Barranquilla,6406
2020,enero,8,8078,Atlántico,Baranoa,30
2020,enero,8,8137,Atlántico,Campo de La Cruz,4
2020,enero,8,8296,Atlántico,Galapa,4
2020,enero,8,8372,Atlántico,Juan de Acosta,16
2020,enero,8,8421,Atlántico,Luruaco,2
2020,enero,8,8433,Atlántico,Malambo,9
2020,enero,8,8436,Atlántico,Manatí,2
2020,enero,8,8520,Atlántico,Palmar de Varela,4
2020,enero,8,8558,Atlántico,Polonuevo,2
2020,enero,8,8560,Atlántico,Ponedera,1
2020,enero,8,8573,Atlántico,Puerto Colombia,23
2020,enero,8,8606,Atlántico,Repelón,1
2020,enero,8,8634,Atlántico,Sabanagrande,2
2020,enero,8,8638,Atlántico,Sabanalarga,7
2020,enero,8,8675,Atlántico,Santa Lucía,1
2020,enero,8,8685,Atlántico,Santo Tomás,15
2020,enero,8,8758,Atlántico,Soledad,36
2020,enero,8,8770,Atlántico,Suan,1
2020,enero,8,8832,Atlántico,Tubará,1
2020,enero,11,11001,"Bogotá, D.C.","Bogotá, D.C.",115343
2020,enero,12,11001,Sin Especificar,"Bogotá, D.C.",1
2020,enero,12,12001,Sin Especificar,Sin Especificar,4
2020,enero,13,13001,Bolívar,Cartagena,50976
2020,enero,13,13006,Bolívar,Achí,105
2020,enero,13,13042,Bolívar,Arenal,1
2020,enero,13,13052,Bolívar,Arjona,7
2020,enero,13,13074,Bolívar,Barranco de Loba,2
2020,enero,13,13140,Bolívar,Calamar,5
2020,enero,13,13160,Bolívar,Cantagallo,3
2020,enero,13,13188,Bolívar,Cicuco,1
2020,enero,13,13212,Bolívar,Córdoba,1
2020,enero,13,13244,Bolívar,El Carmen de Bolívar,1
2020,enero,13,13430,Bolívar,Magangué,8
2020,enero,13,13440,Bolívar,Margarita,1
2020,enero,13,13442,Bolívar,María La Baja,3
2020,enero,13,13458,Bolívar,Montecristo,1
2020,enero,13,13468,Bolívar,Mompós,1
2020,enero,13,13549,Bolívar,Pinillos,1
2020,enero,13,13600,Bolívar,Río Viejo,2
2020,enero,13,13654,Bolívar,San Jacinto,2
2020,enero,13,13657,Bolívar,San Juan Nepomuceno,6
2020,enero,13,13670,Bolívar,San Pablo,18
2020,enero,13,13683,Bolívar,Santa Rosa,1
2020,enero,13,13836,Bolívar,Turbaco,18
2020,enero,13,13894,Bolívar,Zambrano,1
2020,enero,15,15001,Boyacá,Tunja,282
2020,enero,15,15022,Boyacá,Almeida,5
2020,enero,15,15051,Boyacá,Arcabuco,3
2020,enero,15,15087,Boyacá,Belén,6
2020,enero,15,15104,Boyacá,Boyacá,5
2020,enero,15,15176,Boyacá,Chiquinquirá,10
2020,enero,15,15204,Boyacá,Cómbita,1
2020,enero,15,15224,Boyacá,Cucaita,1
2020,enero,15,15236,Boyacá,Chivor,1
2020,enero,15,15238,Boyacá,Duitama,75
2020,enero,15,15272,Boyacá,Firavitoba,2
2020,enero,15,15299,Boyacá,Garagoa,3
2020,enero,15,15322,Boyacá,Guateque,2
2020,enero,15,15325,Boyacá,Guayatá,1
2020,enero,15,15362,Boyacá,Iza,2
2020,enero,15,15407,Boyacá,Villa de Leyva,104
2020,enero,15,15466,Boyacá,Monguí,1
2020,enero,15,15469,Boyacá,Moniquirá,6
2020,enero,15,15491,Boyacá,Nobsa,14
2020,enero,15,15494,Boyacá,Nuevo Colón,1
2020,enero,15,15507,Boyacá,Otanche,2
2020,enero,15,15516,Boyacá,Paipa,59
2020,enero,15,15572,Boyacá,Puerto Boyacá,3
2020,enero,15,15638,Boyacá,Sáchica,1
2020,enero,15,15646,Boyacá,Samacá,1
2020,enero,15,15664,Boyacá,San José de Pare,3
2020,enero,15,15690,Boyacá,Santa María,4
2020,enero,15,15693,Boyacá,Santa Rosa de Viterbo,1
2020,enero,15,15696,Boyacá,Santa Sofía,1
2020,enero,15,15759,Boyacá,Sogamoso,61
2020,enero,15,15763,Boyacá,Sotaquirá,2
2020,enero,15,15806,Boyacá,Tibasosa,1
2020,enero,15,15837,Boyacá,Tuta,4
2020,enero,17,17001,Caldas,Manizales,878
2020,enero,17,17013,Caldas,Aguadas,10
2020,enero,17,17042,Caldas,Anserma,11
2020,enero,17,17050,Caldas,Aranzazu,8
2020,enero,17,17088,Caldas,Belalcázar,1
2020,enero,17,17174,Caldas,Chinchiná,31
2020,enero,17,17380,Caldas,La Dorada,28
2020,enero,17,17388,Caldas,La Merced,1
2020,enero,17,17433,Caldas,Manzanares,4
2020,enero,17,17442,Caldas,Marmato,3
2020,enero,17,17486,Caldas,Neira,2
2020,enero,17,17524,Caldas,Palestina,5
2020,enero,17,17541,Caldas,Pensilvania,1
2020,enero,17,17614,Caldas,Riosucio,10
2020,enero,17,17616,Caldas,Risaralda,2
2020,enero,17,17653,Caldas,Salamina,13
2020,enero,17,17777,Caldas,Supía,2
2020,enero,17,17867,Caldas,Victoria,1
2020,enero,17,17873,Caldas,Villamaría,8
2020,enero,17,17877,Caldas,Viterbo,14
2020,enero,18,18001,Caquetá,Florencia,53
2020,enero,18,18029,Caquetá,Albania,2
2020,enero,18,18247,Caquetá,El Doncello,1
2020,enero,18,18592,Caquetá,Puerto Rico,3
2020,enero,18,18610,Caquetá,San José del Fragua,1
2020,enero,18,18753,Caquetá,San Vicente del Caguán,5
2020,enero,19,19001,Cauca,Popayán,355
2020,enero,19,19022,Cauca,Almaguer,4
2020,enero,19,19050,Cauca,Argelia,2
2020,enero,19,19075,Cauca,Balboa,1
2020,enero,19,19110,Cauca,Buenos Aires,1
2020,enero,19,19130,Cauca,Cajibío,8
2020,enero,19,19137,Cauca,Caldono,1
2020,enero,19,19142,Cauca,Caloto,1
2020,enero,19,19212,Cauca,Corinto,2
2020,enero,19,19455,Cauca,Miranda,6
2020,enero,19,19533,Cauca,Piamonte,1
2020,enero,19,19548,Cauca,Piendamó,4
2020,enero,19,19573,Cauca,Puerto Tejada,3
2020,enero,19,19698,Cauca,Santander de Quilichao,23
2020,enero,19,19743,Cauca,Silvia,4
2020,enero,19,19845,Cauca,Villa Rica,8
2020,enero,20,20001,Cesar,Valledupar,331
2020,enero,20,20011,Cesar,Aguachica,17
2020,enero,20,20013,Cesar,Agustín Codazzi,3
2020,enero,20,20060,Cesar,Bosconia,11
2020,enero,20,20175,Cesar,Chimichagua,1
2020,enero,20,20178,Cesar,Chiriguaná,1
2020,enero,20,20228,Cesar,Curumaní,6
2020,enero,20,20238,Cesar,El Copey,1
2020,enero,20,20400,Cesar,La Jagua de Ibirico,70
2020,enero,20,20443,Cesar,Manaure,2
2020,enero,20,20570,Cesar,Pueblo Bello,1
2020,enero,20,20621,Cesar,La Paz,1
2020,enero,20,20710,Cesar,San Alberto,1
2020,enero,20,20787,Cesar,Tamalameque,3
2020,enero,23,23001,Córdoba,Montería,263
2020,enero,23,23162,Córdoba,Cereté,11
2020,enero,23,23182,Córdoba,Chinú,1
2020,enero,23,23189,Córdoba,Ciénaga de Oro,2
2020,enero,23,23417,Córdoba,Lorica,2
2020,enero,23,23466,Córdoba,Montelíbano,24
2020,enero,23,23500,Córdoba,Moñitos,1
2020,enero,23,23555,Córdoba,Planeta Rica,5
2020,enero,23,23660,Córdoba,Sahagún,5
2020,enero,23,23670,Córdoba,San Andrés de Sotavento,2
2020,enero,23,23672,Córdoba,San Antero,1
