Año,Mes,Departamento,Municipio,Pasajeros Regulares
2012,Enero,Amazonas,LA CHORRERA, 34 
2012,Enero,Amazonas,La Pedrera, 98 
2012,Enero,Amazonas,Leticia," 7,002 "
2012,Enero,Amazonas,Tarapacá, 102 
2012,Enero,Antioquia,Carepa," 6,867 "
2012,Enero,Antioquia,Caucasia, 857 
2012,Enero,Antioquia,El Bagre, 368 
2012,Enero,Antioquia,Medellín," 40,467 "
2012,Enero,Antioquia,Remedios, 381 
2012,Enero,Antioquia,Rionegro," 109,187 "
2012,Enero,Arauca,Arauca," 4,550 "
2012,Enero,Arauca,Tame, 169 
2012,Enero,Atlántico,Barranquilla," 58,333 "
2012,Enero,"Bogotá, D.C.","Bogotá, D.C."," 536,767 "
2012,Enero,Bolívar,Cartagena," 86,863 "
2012,Enero,Caldas,Manizales," 8,595 "
2012,Enero,Caquetá,Florencia," 2,210 "
2012,Enero,Caquetá,San Vicente del Caguán, 84 
2012,Enero,Caquetá,Solano, -   
2012,Enero,Casanare,Paz de Ariporo, 17 
2012,Enero,Casanare,Yopal," 13,950 "
2012,Enero,Cauca,Guapi, 689 
2012,Enero,Cauca,Popayán," 3,091 "
2012,Enero,Cesar,Valledupar," 10,915 "
2012,Enero,Chocó,Acandí, 516 
2012,Enero,Chocó,Bahía Solano," 1,157 "
2012,Enero,Chocó,Condoto, 239 
2012,Enero,Chocó,Nuquí, 463 
2012,Enero,Chocó,Quibdó," 9,640 "
2012,Enero,Córdoba,Montería," 23,770 "
2012,Enero,Guainía,Barranco Minas, -   
2012,Enero,Guainía,Inírida," 1,165 "
2012,Enero,Guaviare,Miraflores, 95 
2012,Enero,Guaviare,San José del Guaviare, 670 
2012,Enero,Huila,Neiva," 10,471 "
2012,Enero,La Guajira,Maicao," 2,909 "
2012,Enero,La Guajira,Riohacha," 3,064 "
2012,Enero,La Guajira,Uribia, 909 
2012,Enero,Magdalena,Santa Marta," 45,044 "
2012,Enero,Meta,La Macarena, 59 
2012,Enero,Meta,Villavicencio," 2,921 "
2012,Enero,Nariño,Ipiales, 316 
2012,Enero,Nariño,Pasto," 8,714 "
2012,Enero,Nariño,San Andres de Tumaco," 2,547 "
2012,Enero,Norte de Santander,Cúcuta," 38,166 "
2012,Enero,Putumayo,Puerto Asís," 1,399 "
2012,Enero,Putumayo,Puerto Leguízamo, 255 
2012,Enero,Putumayo,Villagarzón, 482 
2012,Enero,Quindío,Armenia," 11,756 "
2012,Enero,Risaralda,Pereira," 26,510 "
2012,Enero,San Andrés y Providencia,Providencia, 897 
2012,Enero,San Andrés y Providencia,San Andrés," 35,473 "
2012,Enero,Santander,Barrancabermeja," 6,872 "
2012,Enero,Santander,Bucaramanga," 46,219 "
2012,Enero,Sin Especificar,Sin Especificar, -   
2012,Enero,Sucre,Corozal," 1,708 "
2012,Enero,Sucre,Santiago de Tolú, 369 
2012,Enero,Tolima,Ibagué," 5,532 "
2012,Enero,Valle del Cauca,Buenaventura, 368 
2012,Enero,Valle del Cauca,Cali," 90,308 "
2012,Enero,Vaupés,Caruru, 74 
2012,Enero,Vaupés,Mitú," 1,192 "
2012,Enero,Vaupés,Taraira, 27 
2012,Enero,Vichada,Cumaribo, 421 
2012,Enero,Vichada,La Primavera, -   
2012,Enero,Vichada,Puerto Carreño," 1,364 "
2012,Febrero,Amazonas,LA CHORRERA, 13 
2012,Febrero,Amazonas,La Pedrera, 131 
2012,Febrero,Amazonas,Leticia," 5,836 "
2012,Febrero,Amazonas,Tarapacá, 96 
2012,Febrero,Antioquia,Carepa," 6,807 "
2012,Febrero,Antioquia,Caucasia," 1,195 "
2012,Febrero,Antioquia,El Bagre, 385 
2012,Febrero,Antioquia,Medellín," 33,579 "
2012,Febrero,Antioquia,Remedios, 412 
2012,Febrero,Antioquia,Rionegro," 109,391 "
2012,Febrero,Arauca,Arauca," 4,084 "
2012,Febrero,Arauca,Tame, 156 
2012,Febrero,Atlántico,Barranquilla," 57,422 "
2012,Febrero,"Bogotá, D.C.","Bogotá, D.C."," 445,473 "
2012,Febrero,Bolívar,Calamar, -   
2012,Febrero,Bolívar,Cartagena," 73,032 "
2012,Febrero,Caldas,Manizales," 8,881 "
2012,Febrero,Caquetá,Florencia," 2,686 "
2012,Febrero,Caquetá,San Vicente del Caguán, 109 
2012,Febrero,Caquetá,Solano, -   
2012,Febrero,Casanare,Paz de Ariporo, 1 
2012,Febrero,Casanare,Yopal," 14,409 "
2012,Febrero,Cauca,Guapi, 671 
2012,Febrero,Cauca,Popayán," 3,003 "
2012,Febrero,Cesar,Valledupar," 10,239 "
2012,Febrero,Chocó,Acandí, 368 
2012,Febrero,Chocó,Bahía Solano, 533 
2012,Febrero,Chocó,Condoto, 121 
2012,Febrero,Chocó,Nuquí, 325 
2012,Febrero,Chocó,Quibdó," 8,574 "
2012,Febrero,Córdoba,Montería," 21,096 "
2012,Febrero,Guainía,Barranco Minas, 2 
2012,Febrero,Guainía,Inírida," 1,054 "
2012,Febrero,Guaviare,Miraflores, 132 
2012,Febrero,Guaviare,San José del Guaviare, 808 
2012,Febrero,Huila,Neiva," 11,428 "
2012,Febrero,La Guajira,Maicao," 2,569 "
2012,Febrero,La Guajira,Riohacha," 3,206 "
2012,Febrero,La Guajira,Uribia, 860 
2012,Febrero,Magdalena,Santa Marta," 36,241 "
2012,Febrero,Meta,La Macarena, 32 
2012,Febrero,Meta,Villavicencio," 2,822 "
2012,Febrero,Nariño,Ipiales, 340 
2012,Febrero,Nariño,Pasto," 8,559 "
2012,Febrero,Nariño,San Andres de Tumaco," 2,337 "
2012,Febrero,Norte de Santander,Cúcuta," 29,647 "
2012,Febrero,Putumayo,Puerto Asís," 1,624 "
2012,Febrero,Putumayo,Puerto Leguízamo, 245 
2012,Febrero,Putumayo,Villagarzón, 422 
2012,Febrero,Quindío,Armenia," 10,876 "
2012,Febrero,Risaralda,Pereira," 27,468 "
2012,Febrero,San Andrés y Providencia,Providencia, 747 
2012,Febrero,San Andrés y Providencia,San Andrés," 27,122 "
2012,Febrero,Santander,Barrancabermeja," 7,766 "
2012,Febrero,Santander,Bucaramanga," 46,199 "
2012,Febrero,Sin Especificar,Sin Especificar, -   
2012,Febrero,Sucre,Corozal," 1,225 "
2012,Febrero,Sucre,Coveñas, -   
2012,Febrero,Sucre,Santiago de Tolú, 169 
2012,Febrero,Tolima,Ibagué," 6,148 "
2012,Febrero,Tolima,natagaima, -   
2012,Febrero,Valle del Cauca,Buenaventura, 277 
2012,Febrero,Valle del Cauca,Cali," 90,806 "
2012,Febrero,Vaupés,Caruru, 79 
2012,Febrero,Vaupés,Mitú, 914 
2012,Febrero,Vaupés,Pacoa, 6 
2012,Febrero,Vaupés,Taraira, 61 
2012,Febrero,Vichada,Cumaribo, 301 
2012,Febrero,Vichada,La Primavera, -   
2012,Febrero,Vichada,Puerto Carreño," 1,389 "
2012,Marzo,Amazonas,LA CHORRERA, 48 
2012,Marzo,Amazonas,La Pedrera, 158 
2012,Marzo,Amazonas,Leticia," 5,928 "
2012,Marzo,Amazonas,Tarapacá, 103 
2012,Marzo,Antioquia,Carepa," 7,551 "
2012,Marzo,Antioquia,Caucasia," 1,365 "
2012,Marzo,Antioquia,El Bagre, 432 
2012,Marzo,Antioquia,Medellín," 37,383 "
2012,Marzo,Antioquia,Remedios, 431 
2012,Marzo,Antioquia,Rionegro," 119,979 "
2012,Marzo,Arauca,Arauca," 4,555 "
2012,Marzo,Arauca,Tame, 180 
2012,Marzo,Atlántico,Barranquilla," 59,489 "
2012,Marzo,"Bogotá, D.C.","Bogotá, D.C."," 463,181 "
2012,Marzo,Bolívar,Calamar, -   
2012,Marzo,Bolívar,Cartagena," 76,707 "
2012,Marzo,Caldas,Manizales," 9,987 "
2012,Marzo,Caquetá,Florencia," 2,870 "
2012,Marzo,Caquetá,San Vicente del Caguán, 90 
2012,Marzo,Caquetá,Solano, -   
2012,Marzo,Casanare,Paz de Ariporo, 8 
2012,Marzo,Casanare,Villanueva, 36 
2012,Marzo,Casanare,Yopal," 14,217 "
2012,Marzo,Cauca,Guapi, 664 
2012,Marzo,Cauca,Popayán," 3,499 "
2012,Marzo,Cesar,San Martín, 11 
2012,Marzo,Cesar,Valledupar," 10,445 "
2012,Marzo,Chocó,Acandí, 231 
2012,Marzo,Chocó,Bahía Solano, 864 
2012,Marzo,Chocó,Condoto, 293 
2012,Marzo,Chocó,Nuquí, 378 
2012,Marzo,Chocó,Quibdó," 9,964 "
2012,Marzo,Córdoba,Montería," 22,302 "
2012,Marzo,Guainía,Barranco Minas, 39 
2012,Marzo,Guainía,Inírida," 1,061 "
2012,Marzo,Guaviare,Miraflores, 251 
2012,Marzo,Guaviare,San José del Guaviare, 877 
2012,Marzo,Huila,Neiva," 12,742 "
2012,Marzo,La Guajira,Maicao," 3,890 "
2012,Marzo,La Guajira,Riohacha," 3,443 "
2012,Marzo,La Guajira,Uribia," 1,131 "
2012,Marzo,Magdalena,Santa Marta," 37,704 "
2012,Marzo,Meta,La Macarena, 48 
2012,Marzo,Meta,Puerto Gaitán, -   
2012,Marzo,Meta,Uribe, 29 
2012,Marzo,Meta,Villavicencio," 3,151 "
2012,Marzo,Nariño,Ipiales, 289 
2012,Marzo,Nariño,Pasto," 9,145 "
2012,Marzo,Nariño,San Andres de Tumaco," 2,502 "
2012,Marzo,Norte de Santander,Cúcuta," 31,360 "
2012,Marzo,Putumayo,Puerto Asís," 1,698 "
2012,Marzo,Putumayo,Puerto Leguízamo, 374 
2012,Marzo,Putumayo,Villagarzón, 484 
2012,Marzo,Quindío,Armenia," 11,720 "
2012,Marzo,Risaralda,Pereira," 28,516 "
2012,Marzo,San Andrés y Providencia,Providencia, 814 
2012,Marzo,San Andrés y Providencia,San Andrés," 30,486 "
2012,Marzo,Santander,Barrancabermeja," 7,910 "
2012,Marzo,Santander,Bucaramanga," 48,272 "
2012,Marzo,Sin Especificar,Sin Especificar, -   
2012,Marzo,Sucre,Corozal," 1,357 "
2012,Marzo,Sucre,Coveñas, -   
2012,Marzo,Sucre,Santiago de Tolú, 219 
2012,Marzo,Tolima,Ibagué," 6,791 "
2012,Marzo,Tolima,natagaima, -   
2012,Marzo,Valle del Cauca,Buenaventura, 336 
2012,Marzo,Valle del Cauca,Cali," 104,216 "
2012,Marzo,Vaupés,Caruru, 57 
2012,Marzo,Vaupés,Mitú, 934 
2012,Marzo,Vaupés,Pacoa, 30 
2012,Marzo,Vaupés,Taraira, 80 
2012,Marzo,Vichada,Cumaribo, 450 
2012,Marzo,Vichada,La Primavera, -   
2012,Marzo,Vichada,Puerto Carreño," 1,407 "
2012,Abril,Amazonas,LA CHORRERA, 60 
2012,Abril,Amazonas,La Pedrera, 123 
2012,Abril,Amazonas,Leticia," 5,727 "
2012,Abril,Amazonas,Tarapacá, 106 
2012,Abril,Antioquia,Carepa," 6,386 "
2012,Abril,Antioquia,Caucasia," 1,158 "
2012,Abril,Antioquia,El Bagre, 397 
2012,Abril,Antioquia,Medellín," 33,082 "
2012,Abril,Antioquia,Remedios, 316 
2012,Abril,Antioquia,Rionegro," 107,279 "
2012,Abril,Arauca,Arauca," 4,214 "
2012,Abril,Arauca,Cravo Norte, -   
2012,Abril,Arauca,Tame, 160 
2012,Abril,Atlántico,Barranquilla," 56,511 "
2012,Abril,"Bogotá, D.C.","Bogotá, D.C."," 431,918 "
2012,Abril,Bolívar,Cartagena," 70,550 "
2012,Abril,Caldas,Manizales," 7,513 "
2012,Abril,Caquetá,Florencia," 2,543 "
2012,Abril,Caquetá,San Vicente del Caguán, 49 
2012,Abril,Caquetá,Solano, -   
2012,Abril,Casanare,Paz de Ariporo, 10 
2012,Abril,Casanare,Yopal," 11,975 "
2012,Abril,Cauca,Guapi, 569 
2012,Abril,Cauca,Popayán," 3,167 "
